Episode,Turn,Player,Action,Reward,Cumulative_Reward
7,0,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,1,1,"Action(player=Player 1, type=ActionType.BUY, card=Moneylender)",0,0
7,2,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,3,2,"Action(player=Player 2, type=ActionType.BUY, card=Estate)",0,0
7,4,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,5,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
7,6,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,7,2,"Action(player=Player 2, type=ActionType.BUY, card=Copper)",0,0
7,8,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,9,1,"Action(player=Player 1, type=ActionType.END_BUY, card=None)",0,0
7,10,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,11,2,"Action(player=Player 2, type=ActionType.BUY, card=Copper)",0,0
7,12,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,13,1,"Action(player=Player 1, type=ActionType.BUY, card=Village)",0,0
7,14,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,15,2,"Action(player=Player 2, type=ActionType.BUY, card=Village)",0,0
7,16,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,17,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
7,18,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,19,2,"Action(player=Player 2, type=ActionType.BUY, card=Copper)",0,0
7,20,1,"Action(player=Player 1, type=ActionType.PLAY, card=Moneylender)",0,0
7,21,1,"Action(player=Player 1, type=ActionType.BUY, card=Moneylender)",0,0
7,22,2,"Action(player=Player 2, type=ActionType.PLAY, card=Village)",0,0
7,23,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,24,2,"Action(player=Player 2, type=ActionType.BUY, card=Copper)",0,0
7,25,1,"Action(player=Player 1, type=ActionType.PLAY, card=Village)",0,0
7,26,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,27,1,"Action(player=Player 1, type=ActionType.BUY, card=Estate)",0,0
7,28,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,29,2,"Action(player=Player 2, type=ActionType.END_BUY, card=None)",0,0
7,30,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,31,1,"Action(player=Player 1, type=ActionType.BUY, card=Moneylender)",0,0
7,32,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,33,2,"Action(player=Player 2, type=ActionType.BUY, card=Silver)",0,0
7,34,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,35,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
7,36,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,37,2,"Action(player=Player 2, type=ActionType.BUY, card=Curse)",0,0
7,38,1,"Action(player=Player 1, type=ActionType.PLAY, card=Moneylender)",0,0
7,39,1,"Action(player=Player 1, type=ActionType.BUY, card=Smithy)",0,0
7,40,2,"Action(player=Player 2, type=ActionType.PLAY, card=Village)",0,0
7,41,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,42,2,"Action(player=Player 2, type=ActionType.BUY, card=Curse)",0,0
7,43,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,44,1,"Action(player=Player 1, type=ActionType.BUY, card=Curse)",0,0
7,45,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,46,2,"Action(player=Player 2, type=ActionType.BUY, card=Copper)",0,0
7,47,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,48,1,"Action(player=Player 1, type=ActionType.BUY, card=Curse)",0,0
7,49,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,50,2,"Action(player=Player 2, type=ActionType.BUY, card=Copper)",0,0
7,51,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,52,1,"Action(player=Player 1, type=ActionType.BUY, card=Estate)",0,0
7,53,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,54,2,"Action(player=Player 2, type=ActionType.END_BUY, card=None)",0,0
7,55,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,56,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
7,57,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,58,2,"Action(player=Player 2, type=ActionType.BUY, card=Silver)",0,0
7,59,1,"Action(player=Player 1, type=ActionType.PLAY, card=Moneylender)",0,0
7,60,1,"Action(player=Player 1, type=ActionType.BUY, card=Village)",0,0
7,61,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,62,2,"Action(player=Player 2, type=ActionType.BUY, card=Village)",0,0
7,63,1,"Action(player=Player 1, type=ActionType.PLAY, card=Moneylender)",0,0
7,64,1,"Action(player=Player 1, type=ActionType.BUY, card=Moneylender)",0,0
7,65,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,66,2,"Action(player=Player 2, type=ActionType.END_BUY, card=None)",0,0
7,67,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,68,1,"Action(player=Player 1, type=ActionType.BUY, card=Estate)",0,0
7,69,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,70,2,"Action(player=Player 2, type=ActionType.BUY, card=Silver)",0,0
7,71,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,72,1,"Action(player=Player 1, type=ActionType.BUY, card=Village)",0,0
7,73,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,74,2,"Action(player=Player 2, type=ActionType.BUY, card=Copper)",0,0
7,75,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,76,1,"Action(player=Player 1, type=ActionType.END_BUY, card=None)",0,0
7,77,2,"Action(player=Player 2, type=ActionType.PLAY, card=Village)",0,0
7,78,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,79,2,"Action(player=Player 2, type=ActionType.BUY, card=Witch)",0,0
7,80,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,81,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
7,82,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,83,2,"Action(player=Player 2, type=ActionType.BUY, card=Copper)",0,0
7,84,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,85,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
7,86,2,"Action(player=Player 2, type=ActionType.PLAY, card=Village)",0,0
7,87,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,88,2,"Action(player=Player 2, type=ActionType.END_BUY, card=None)",0,0
7,89,1,"Action(player=Player 1, type=ActionType.PLAY, card=Moneylender)",0,0
7,90,1,"Action(player=Player 1, type=ActionType.END_BUY, card=None)",0,0
7,91,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,92,2,"Action(player=Player 2, type=ActionType.BUY, card=Estate)",0,0
7,93,1,"Action(player=Player 1, type=ActionType.PLAY, card=Moneylender)",0,0
7,94,1,"Action(player=Player 1, type=ActionType.BUY, card=Market)",0,0
7,95,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,96,2,"Action(player=Player 2, type=ActionType.BUY, card=Village)",0,0
7,97,1,"Action(player=Player 1, type=ActionType.PLAY, card=Moneylender)",0,0
7,98,1,"Action(player=Player 1, type=ActionType.BUY, card=Market)",0,0
7,99,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,100,2,"Action(player=Player 2, type=ActionType.BUY, card=Silver)",0,0
7,101,1,"Action(player=Player 1, type=ActionType.PLAY, card=Moneylender)",0,0
7,102,1,"Action(player=Player 1, type=ActionType.BUY, card=Curse)",0,0
7,103,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,104,2,"Action(player=Player 2, type=ActionType.END_BUY, card=None)",0,0
7,105,1,"Action(player=Player 1, type=ActionType.PLAY, card=Village)",0,0
7,106,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,107,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
7,108,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,109,2,"Action(player=Player 2, type=ActionType.BUY, card=Copper)",0,0
7,110,1,"Action(player=Player 1, type=ActionType.PLAY, card=Village)",0,0
7,111,1,"Action(player=Player 1, type=ActionType.PLAY, card=Moneylender)",0,0
7,112,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,113,1,"Action(player=Player 1, type=ActionType.BUY, card=Copper)",0,0
7,114,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,115,2,"Action(player=Player 2, type=ActionType.BUY, card=Silver)",0,0
7,116,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,117,1,"Action(player=Player 1, type=ActionType.BUY, card=Village)",0,0
7,118,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,119,2,"Action(player=Player 2, type=ActionType.BUY, card=Laboratory)",0,0
7,120,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
7,121,1,"Action(player=Player 1, type=ActionType.END_BUY, card=None)",0,0
7,122,2,"Action(player=Player 2, type=ActionType.END_ACTION, card=None)",0,0
7,123,2,"Action(player=Player 2, type=ActionType.BUY, card=Copper)",0,0
7,124,1,"Action(player=Player 1, type=ActionType.END_ACTION, card=None)",0,0
